"zhuyin","wadegiles","mps2","yale","tongyong","hanyu","gwoyeu1","gwoyeu2","gwoyeu3","gwoyeu4"
"ㄊㄨㄢ","t`uan","tuan","twan","tuan","tuan","tuan","twan","toan","tuann"
"ㄊㄨㄟ","t`ui","tuei","twei","tuei","tui","tuei","twei","toei","tuey"
"ㄊㄨㄣ","t`un","tuen","twen","tun","tun","tuen","twen","toen","tuenn"
"ㄊㄨㄛ","t`o","tuo","two","tuo","tuo","tuo","two","tuoo","tuoh"
"ㄨㄚ","wa","wa","wa","wa","wa","ua","wa","waa","wah"
"ㄨㄞ","wai","wai","wai","wai","wai","uai","wai","woai","way"
"ㄨㄢ","wan","wan","wan","wan","wan","uan","wan","woan","wann"
"ㄨㄤ","wang","wang","wang","wang","wang","uang","wang","woang","wanq"
"ㄨㄟ","wei","wei","wei","wei","wei","uei","wei","woei","wey"
"ㄨㄣ","wen","wen","wen","wun","wen","uen","wen","woen","wenn"
"ㄨㄥ","weng","weng","weng","wong","weng","ueng","weng","woeng","wenq"
"ㄨㄛ","wo","wo","wo","wo","wo","uo","wo","woo","woh"
"ㄨ","wu","wu","wu","wu","wu","u","wu","wuu","wuh"
"ㄒㄧ","hsi","shi","syi","si","xi","shi","shyi","shii","shih"
"ㄒㄧㄚ","hsia","shia","sya","sia","xia","shia","shya","shea","shiah"
"ㄒㄧㄢ","hsien","shian","syan","sian","xian","shian","shyan","shean","shiann"
"ㄒㄧㄤ","hsiang","shiang","syang","siang","xiang","shiang","shyang","sheang","shianq"
"ㄒㄧㄠ","hsiao","shiau","syau","siao","xiao","shiau","shyau","sheau","shiaw"
"ㄒㄧㄝ","hsieh","shie","sye","sie","xie","shie","shye","shiee","shieh"
"ㄒㄧㄣ","hsin","shin","syin","sin","xin","shin","shyn","shiin","shinn"
"ㄒㄧㄥ","hsing","shing","sying","sing","xing","shing","shyng","shiing","shinq"
"ㄒㄩㄥ","hsiung","shiung","syung","syong","xiong","shiong","shyong","sheong","shionq"
"ㄒㄧㄡ","hsiu","shiou","syou","siou","xiu","shiou","shyou","sheou","shiow"
"ㄒㄩ","hsü","shiu","syu","syu","xu","shiu","shyu","sheu","shiuh"
"ㄒㄩㄢ","hsüan","shiuan","sywan","syuan","xuan","shiuan","shyuan","sheuan","shiuann"
"ㄒㄩㄝ","hsüeh","shiue","sywe","syue","xue","shiue","shyue","sheue","shiueh"
"ㄒㄩㄣ","hsün","shiun","syun","syun","xun","shiun","shyun","sheun","shiunn"
"ㄧㄚ","ya","ya","ya","ya","ya","ia","ya","yea","yah"
"ㄧㄢ","yan","yan","yan","yan","yan","ian","yan","yean","yann"
"ㄧㄤ","yang","yang","yang","yang","yang","iang","yang","yeang","yanq"
"ㄧㄠ","yao","yau","yau","yao","yao","iau","yau","yeau","yaw"
"ㄧㄝ","yeh","ye","ye","ye","ye","ie","ye","yee","yeh"
"ㄧ","i","yi","yi","yi","yi","i","yi","yii","yih"
"ㄧㄣ","yin","yin","yin","yin","yin","in","yn","yiin","yinn"
"ㄧㄥ","ying","ying","ying","ying","ying","ing","yng","yiing","yinq"
"ㄩㄥ","yung","yung","yung","yong","yong","iong","yong","yeong","yonq"
"ㄧㄡ","yu","you","you","you","you","iou","you","yeou","yow"
"ㄩ","yü","yu","yu","yu","yu","iu","yu","yeu","yuh"
"ㄩㄢ","yüan","yuan","ywan","yuan","yuan","iuan","yuan","yeuan","yuann"
"ㄩㄝ","yüeh","yue","ywe","yue","yue","iue","yue","yeue","yueh"
"ㄩㄣ","yün","yun","yun","yun","yun","iun","yun","yeun","yunn"
"ㄗㄚ","tsa","tza","dza","za","za","tza","tzar","tzaa","tzah"
"ㄗㄞ","tsai","tzai","dzai","zai","zai","tzai","tzair","tzae","tzay"
"ㄗㄢ","tsan","tzan","dzan","zan","zan","tzan","tzarn","tzaan","tzann"
"ㄗㄤ","tsang","tzang","dzang","zang","zang","tzang","tzarng","tzaang","tzanq"
"ㄗㄠ","tsao","tzau","dzau","zao","zao","tzau","tzaur","tzao","tzaw"
"ㄗㄜ","tse","tze","dze","ze","ze","tze","tzer","tzee","tzeh"
"ㄗㄟ","tsei","tzei","dzei","zei","zei","tzei","tzeir","tzeei","tzey"
"ㄗㄣ","tsen","tzen","dzen","zen","zen","tzen","tzern","tzeen","tzenn"
"ㄗㄥ","tseng","tzeng","dzeng","zeng","zeng","tzeng","tzerng","tzeeng","tzenq"
"ㄓㄚ","cha","ja","ja","jha","zha","ja","jar","jaa","jah"
"ㄓㄞ","chai","jai","jai","jhai","zhai","jai","jair","jae","jay"
"ㄓㄢ","chan","jan","jan","jhan","zhan","jan","jarn","jaan","jann"
"ㄓㄤ","chang","jang","jang","jhang","zhang","jang","jarng","jaang","janq"
"ㄓㄠ","chao","jau","jau","jhao","zhao","jau","jaur","jao","jaw"
"ㄓㄜ","che","je","je","jhe","zhe","je","jer","jee","jeh"
"ㄓㄟ","chei","jei","jei","jhei","zhei","jei","jeir","jeei","jey"
"ㄓㄣ","chen","jen","jen","jhen","zhen","jen","jern","jeen","jenn"
"ㄓㄥ","cheng","jeng","jeng","jheng","zheng","jeng","jerng","jeeng","jenq"
"ㄓ","chih","jr","jr","jhih","zhi","jy","jyr","jyy","jyh"
"ㄓㄨㄥ","chung","jung","jung","jhong","zhong","jong","jorng","joong","jonq"
"ㄓㄡ","chou","jou","jou","jhou","zhou","jou","jour","joou","jow"
"ㄓㄨ","chu","ju","ju","jhu","zhu","ju","jwu","juu","juh"
"ㄓㄨㄚ","chua","jua","jwa","jhua","zhua","jua","jwa","joa","juah"
"ㄓㄨㄞ","chuai","juai","jwai","jhuai","zhuai","juai","jwai","joai","juay"
"ㄓㄨㄢ","chuan","juan","jwan","jhuan","zhuan","juan","jwan","joan","juann"
"ㄓㄨㄤ","chuang","juang","jwang","jhuang","zhuang","juang","jwang","joang","juanq"
"ㄓㄨㄟ","chui","juei","jwei","jhuei","zhui","juei","jwei","joei","juey"
"ㄓㄨㄣ","chun","juen","jwen","jhun","zhun","juen","jwen","joen","juenn"
"ㄓㄨㄛ","cho","juo","jwo","jhuo","zhuo","juo","jwo","juoo","juoh"
"ㄗ","tzu","tz","dz","zih","zi","tzy","tzyr","tzyy","tzyh"
"ㄗㄨㄥ","tsung","tzung","dzung","zong","zong","tzong","tzorng","tzoong","tzonq"
"ㄗㄡ","tsou","tzou","dzou","zou","zou","tzou","tzour","tzoou","tzow"
"ㄗㄨ","tsu","tzu","dzu","zu","zu","tzu","tzwu","tzuu","tzuh"
"ㄗㄨㄢ","tsuan","tzuan","dzwan","zuan","zuan","tzuan","tzwan","tzoan","tzuann"
"ㄗㄨㄟ","tsui","tzuei","dzwei","zuei","zui","tzuei","tzwei","tzoei","tzuey"
"ㄗㄨㄣ","tsun","tzuen","dzwen","zun","zun","tzuen","tzwen","tzoen","tzuenn"
"ㄗㄨㄛ","tso","tzuo","dzwo","zuo","zuo","tzuo","tzwo","tzuoo","tzuoh"
